代號,名稱,市場,漲幅%,5日籌碼,外資5日,投信5日,投信連買,5日集中%,預估量比
00680L,元大美債20正2,TW,0.0,-7652.464,-758.0,0.0,0,0.0,0.0
00681R,元大美債20反1,TW,0.0,1.411,152.0,0.0,0,0.0,0.0
00682U,期元大美元指數,TW,0.0,31.904,0.0,0.0,0,0.0,0.0
00683L,期元大美元指正2,TW,0.0,82.799,-143.0,0.0,0,0.0,0.0
00684R,期元大美元指反1,TW,0.0,14.011,0.0,0.0,0,0.0,0.0
00685L,群益臺灣加權正2,TW,0.0,311791.645,-2072.048,0.0,0,0.0,0.0
00686R,群益臺灣加權反1,TW,0.0,-15425.476999999999,0.0,0.0,0,0.0,0.0
00688L,國泰20年美債正2,TW,0.0,-2417.306,-1566.0,0.0,0,0.0,0.0
00689R,國泰20年美債反1,TW,0.0,2.434,-142.0,0.0,0,0.0,0.0
00690,兆豐藍籌30,TW,0.0,201.346,57.334,0.0,0,0.0,0.0
00692,富邦公司治理,TW,0.0,162.904,70.224,0.0,0,0.0,0.0
00693U,期街口S&P黃豆,TW,0.0,-562.419,-445.0,0.0,0,0.0,0.0
00700,富邦恒生國企,TW,0.0,90.89,-64.0,0.0,0,0.0,0.0
00701,國泰股利精選30,TW,0.0,-696.621,-909.0,0.0,0,0.0,0.0
00702,國泰標普低波高息,TW,0.0,2.8680000000000003,0.0,0.0,0,0.0,0.0
00703,台新MSCI中國,TW,0.0,18.775,0.0,0.0,0,0.0,0.0
00706L,期元大S&P日圓正2,TW,0.0,872.921,-42.0,0.0,0,0.0,0.0
00707R,期元大S&P日圓反1,TW,0.0,9.0,0.0,0.0,0,0.0,0.0
00708L,期元大S&P黃金正2,TW,0.0,-823.9750000000001,-123.0,-37.0,0,0.0,0.0
00709,富邦歐洲,TW,0.0,384.305,-1.6,240.0,0,0.0,0.0
00710B,復華彭博非投等債,TW,0.0,14.301000000000002,-332.519,0.0,0,0.0,0.0
00711B,復華彭博新興債,TW,0.0,-1.428,-1.0,0.0,0,0.0,0.0
00712,復華富時不動產,TW,0.0,-5712.847000000002,-4948.753,0.0,0,0.0,0.0
00713,元大台灣高息低波,TW,0.0,-5648.0419999999995,-1377.6290000000001,0.0,0,0.0,0.0
00714,群益道瓊美國地產,TW,0.0,-7.279999999999997,-389.0,0.0,0,0.0,0.0
00715L,期街口布蘭特正2,TW,0.0,15118.194,1953.48,0.0,0,0.0,0.0
00717,富邦美國特別股,TW,0.0,1298.996,1430.0,0.0,0,0.0,0.0
00728,第一金工業30,TW,0.0,77.454,-20.0,0.0,0,0.0,0.0
00730,富邦臺灣優質高息,TW,0.0,282.731,58.0,0.0,0,0.0,0.0
00731,復華富時高息低波,TW,0.0,38.353,-87.97800000000001,0.0,0,0.0,0.0
00733,富邦臺灣中小,TW,0.0,696.73,328.074,0.0,0,0.0,0.0
00735,國泰臺韓科技,TW,0.0,-1432.589,-415.033,0.0,0,0.0,0.0
00736,國泰新興市場,TW,0.0,6.0,0.0,0.0,0,0.0,0.0
00737,國泰AI機器人,TW,0.0,147.928,-250.0,0.0,0,0.0,0.0
00738U,期元大道瓊白銀,TW,0.0,1888.04,106.059,0.0,0,0.0,0.0
00739,元大MSCI A股,TW,0.0,31.718,9.0,0.0,0,0.0,0.0
00752,中信中國50,TW,0.0,60.48899999999995,-795.941,0.0,0,0.0,0.0
00753L,中信中國50正2,TW,0.0,-2059.755,-3218.0,0.0,0,0.0,0.0
00757,統一FANG+,TW,0.0,1441.805,158.18699999999998,0.0,0,0.0,0.0
00762,元大全球AI,TW,0.0,172.906,194.02100000000002,0.0,0,0.0,0.0
00763U,期街口道瓊銅,TW,0.0,151.527,-290.0,0.0,0,0.0,0.0
00770,國泰北美科技,TW,0.0,58.762,3.921,0.0,0,0.0,0.0
00771,元大US高息特別股,TW,0.0,-92.09100000000001,0.0,0.0,0,0.0,0.0
00775B,台新投等債15+,TW,0.0,-0.998,-1.0,0.0,0,0.0,0.0
00783,富邦中証500,TW,0.0,24.437,-17.0,0.0,0,0.0,0.0
00830,國泰費城半導體,TW,0.0,6142.033,8348.668,223.0,1,0.0,0.0
00850,元大臺灣ESG永續,TW,0.0,991.046,-102.91600000000001,-12.0,0,0.0,0.0
00851,台新全球AI,TW,0.0,43.019999999999996,0.02,0.0,0,0.0,0.0
00852L,國泰美國道瓊正2,TW,0.0,10.072000000000005,-1.0,0.0,0,0.0,0.0
00861,元大全球未來通訊,TW,0.0,404.916,122.001,0.0,0,0.0,0.0
00865B,國泰US短期公債,TW,0.0,-4621.289,-738.807,0.0,0,0.0,0.0
00875,國泰網路資安,TW,0.0,-15.903000000000006,-3.9779999999999998,0.0,0,0.0,0.0
00876,元大全球5G,TW,0.0,315.04200000000003,103.002,0.0,0,0.0,0.0
00878,國泰永續高股息,TW,0.0,-97027.618,-21803.485,0.0,0,0.0,0.0
00881,國泰台灣科技龍頭,TW,0.0,-141160.246,-4310.169,0.0,0,0.0,0.0
00882,中信中國高股息,TW,0.0,-7083.958,-2538.88,0.0,0,0.0,0.0
00885,富邦越南,TW,0.0,2708.449,-545.352,0.0,0,0.0,0.0
00891,中信關鍵半導體,TW,0.0,-44682.445999999996,-23106.621,0.0,0,0.0,0.0
00892,富邦台灣半導體,TW,0.0,4207.22,135.76299999999998,0.0,0,0.0,0.0
00893,國泰智能電動車,TW,0.0,1073.333,731.76,0.0,0,0.0,0.0
00894,中信小資高價30,TW,0.0,-1382.257,-1033.493,0.0,0,0.0,0.0
00895,富邦未來車,TW,0.0,935.558,221.072,0.0,0,0.0,0.0
00896,中信綠能及電動車,TW,0.0,5137.749,979.26,0.0,0,0.0,0.0
00897,富邦基因免疫生技,TW,0.0,2409.614,1228.0,0.0,0,0.0,0.0
00898,國泰基因免疫革命,TW,0.0,11873.313,9679.0,0.0,0,0.0,0.0
00899,FT潔淨能源,TW,0.0,71.995,1.0,0.0,0,0.0,0.0
00900,富邦特選高股息30,TW,0.0,15443.853000000001,7175.036,2500.0,1,0.0,0.0
00901,永豐智能車供應鏈,TW,0.0,215.671,-110.999,0.0,0,0.0,0.0
00902,中信電池及儲能,TW,0.0,1910.329,1075.0,0.0,0,0.0,0.0
00903,富邦元宇宙,TW,0.0,419.272,109.0,0.0,0,0.0,0.0
00904,台新臺灣半導體30,TW,0.0,1918.356,279.074,0.0,0,0.0,0.0
00905,FT臺灣Smart,TW,0.0,1579.641,112.30899999999997,0.0,0,0.0,0.0
00907,永豐優息存股,TW,0.0,-546.135,-321.0,0.0,0,0.0,0.0
00908,富邦入息REITs+,TW,0.0,109.54599999999999,-40.0,0.0,0,0.0,0.0
00909,國泰數位支付服務,TW,0.0,-381.43499999999995,324.03,0.0,0,0.0,0.0
