date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/23,2330,美林,1440,2964,1169,1795,5.33,1,buy
1/23,2330,美商高盛,1480,2989,5676,-2687,7.97,1,sell
1/23,2330,元大證券,9800,1979,758,1221,3.62,2,buy
1/23,2330,摩根大通,8440,2014,3385,-1371,4.07,2,sell
1/23,2330,華南永昌,9300,901,37,864,2.56,3,buy
1/23,2330,港商麥格理,1360,446,1708,-1262,3.75,3,sell
1/23,2330,永豐金證券,0039004100300030,954,183,771,2.29,4,buy
1/23,2330,新加坡商瑞銀,1650,2144,3180,-1036,3.07,4,sell
1/23,2330,台灣摩根士丹利,1470,1498,1047,451,1.34,5,buy
1/23,2330,香港上海匯豐,8960,8,1003,-995,2.95,5,sell
1/23,2330,群益金鼎,9100,642,223,419,1.24,6,buy
1/23,2330,花旗環球,1590,2191,2798,-607,1.8,6,sell
1/23,2330,富邦證券,9600,569,236,333,0.99,7,buy
1/23,2330,法銀巴黎,8900,144,722,-578,1.72,7,sell
1/23,2330,中國信託,6160,577,260,317,0.94,8,buy
1/23,2330,臺銀,1040,32,507,-475,1.41,8,sell
1/23,2330,台新證券,8150,380,85,295,0.88,9,buy
1/23,2330,彰銀,1230,7,278,-271,0.8,9,sell
1/23,2330,凱基-三多,9275,319,30,289,0.86,10,buy
1/23,2330,港商野村,1560,31,208,-177,0.53,10,sell
1/23,2330,元富,5920,223,16,207,0.61,11,buy
1/23,2330,宏遠證券,1260,8,128,-120,0.36,11,sell
1/23,2330,土銀,1030,205,4,201,0.6,12,buy
1/23,2330,元大-土城永寧,9875,13,106,-93,0.28,12,sell
1/23,2330,國票-博愛,003700370039007a,154,7,147,0.44,13,buy
1/23,2330,群益金鼎-敦南,9101,10,88,-78,0.23,13,sell
1/23,2330,國泰證券,8880,212,81,131,0.39,14,buy
1/23,2330,統一-南京,0035003800350055,5,79,-74,0.22,14,sell
1/23,2330,國泰-敦南,8888,260,144,116,0.34,15,buy
1/23,2330,兆豐證券,7000,2,68,-66,0.2,15,sell
1/23,2317,美商高盛,1480,5839,2025,3814,7.98,1,buy
1/23,2317,台新證券,8150,920,3137,-2217,4.64,1,sell
1/23,2317,新加坡商瑞銀,1650,5956,3449,2507,5.24,2,buy
1/23,2317,美林,1440,2185,4275,-2090,4.37,2,sell
1/23,2317,花旗環球,1590,2900,1137,1763,3.69,3,buy
1/23,2317,群益金鼎,9100,112,1537,-1425,2.98,3,sell
1/23,2317,凱基-台北,9268,2163,864,1299,2.72,4,buy
1/23,2317,臺銀,1040,118,1060,-942,1.97,4,sell
1/23,2317,台灣摩根士丹利,1470,1945,727,1218,2.55,5,buy
1/23,2317,永豐金證券,0039004100300030,600,1485,-885,1.85,5,sell
1/23,2317,元大證券,9800,2484,1363,1121,2.34,6,buy
1/23,2317,永豐金-匯立,0039004100380031,755,1505,-750,1.57,6,sell
1/23,2317,港商麥格理,1360,810,0,810,1.69,7,buy
1/23,2317,法銀巴黎,8900,93,485,-392,0.82,7,sell
1/23,2317,香港上海匯豐,8960,136,0,136,0.28,8,buy
1/23,2317,港商野村,1560,1060,1381,-321,0.67,8,sell
1/23,2317,合庫證券,1020,162,31,131,0.27,9,buy
1/23,2317,大和國泰,8890,0,260,-260,0.54,9,sell
1/23,2317,統一,5850,169,55,114,0.24,10,buy
1/23,2317,元富,5920,87,340,-253,0.53,10,sell
1/23,2317,群益金鼎-萬華,0039003100330049,115,18,97,0.2,11,buy
1/23,2317,凱基-松山,9217,43,271,-228,0.48,11,sell
1/23,2317,凱基,9200,90,0,90,0.19,12,buy
1/23,2317,摩根大通,8440,1228,1455,-227,0.47,12,sell
1/23,2317,中國信託,6160,146,62,84,0.18,13,buy
1/23,2317,康和-板橋,0038003400350044,10,208,-198,0.41,13,sell
1/23,2317,永豐金-三重,003900410039004b,97,13,84,0.18,14,buy
1/23,2317,統一-中壢,5853,45,213,-168,0.35,14,sell
1/23,2317,玉山-新莊,8842,155,75,80,0.17,15,buy
1/23,2317,富邦-陽明,9604,64,218,-154,0.32,15,sell
1/23,2454,美林,1440,857,334,523,6.58,1,buy
1/23,2454,華南永昌,9300,3,395,-392,4.93,1,sell
1/23,2454,港商麥格理,1360,503,60,443,5.57,2,buy
1/23,2454,花旗環球,1590,148,418,-270,3.4,2,sell
1/23,2454,港商野村,1560,525,122,403,5.07,3,buy
1/23,2454,摩根大通,8440,591,807,-216,2.72,3,sell
1/23,2454,台灣摩根士丹利,1470,455,220,235,2.96,4,buy
1/23,2454,富邦證券,9600,25,148,-123,1.55,4,sell
1/23,2454,美商高盛,1480,794,668,126,1.58,5,buy
1/23,2454,元富,5920,6,121,-115,1.45,5,sell
1/23,2454,統一,5850,132,16,116,1.46,6,buy
1/23,2454,台新證券,8150,40,150,-110,1.38,6,sell
1/23,2454,大和國泰,8890,95,0,95,1.19,7,buy
1/23,2454,臺銀,1040,0,101,-101,1.27,7,sell
1/23,2454,凱基,9200,105,14,91,1.14,8,buy
1/23,2454,彰銀,1230,1,80,-79,0.99,8,sell
1/23,2454,國票-敦北法人,0037003700390063,76,2,74,0.93,9,buy
1/23,2454,永豐金證券,0039004100300030,45,96,-51,0.64,9,sell
1/23,2454,永豐金-匯立,0039004100380031,189,129,60,0.75,10,buy
1/23,2454,新加坡商瑞銀,1650,339,385,-46,0.58,10,sell
1/23,2454,法銀巴黎,8900,44,1,43,0.54,11,buy
1/23,2454,新光,8560,25,59,-34,0.43,11,sell
1/23,2454,群益金鼎,9100,34,5,29,0.36,12,buy
1/23,2454,土銀,1030,1,35,-34,0.43,12,sell
1/23,2454,中國信託,6160,37,9,28,0.35,13,buy
1/23,2454,富邦-仁愛,9676,18,45,-27,0.34,13,sell
1/23,2454,華南永昌-高雄,9303,29,2,27,0.34,14,buy
1/23,2454,富邦-南員林,0039003600310052,0,26,-26,0.33,14,sell
1/23,2454,元大證券,9800,357,333,24,0.3,15,buy
1/23,2454,元大-新莊,9898,7,33,-26,0.33,15,sell
