date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
4/23,2330,港商麥格理,1360,1786,272,1514,5.73,1,buy
4/23,2330,花旗環球,1590,395,1932,-1537,5.81,1,sell
4/23,2330,台灣摩根士丹利,1470,2703,1605,1098,4.15,2,buy
4/23,2330,富邦證券,9600,633,2000,-1367,5.17,2,sell
4/23,2330,新加坡商瑞銀,1650,1484,697,787,2.98,3,buy
4/23,2330,摩根大通,8440,1838,3192,-1354,5.12,3,sell
4/23,2330,香港上海匯豐,8960,791,64,727,2.75,4,buy
4/23,2330,元大證券,9800,611,1697,-1086,4.11,4,sell
4/23,2330,華南永昌-忠孝,9325,364,0,364,1.38,5,buy
4/23,2330,美林,1440,1119,2190,-1071,4.05,5,sell
4/23,2330,凱基,9200,890,532,358,1.35,6,buy
4/23,2330,美商高盛,1480,1226,2178,-952,3.6,6,sell
4/23,2330,群益金鼎,9100,552,199,353,1.34,7,buy
4/23,2330,凱基-台北,9268,522,1316,-794,3.0,7,sell
4/23,2330,華南永昌-基隆,9322,204,3,201,0.76,8,buy
4/23,2330,統一,5850,275,920,-645,2.44,8,sell
4/23,2330,宏遠證券,1260,351,173,178,0.67,9,buy
4/23,2330,台新-五權西,0039004200320035,37,296,-259,0.98,9,sell
4/23,2330,永豐金證券,0039004100300030,459,290,169,0.64,10,buy
4/23,2330,國票-敦北法人,0037003700390063,76,254,-178,0.67,10,sell
4/23,2330,中國信託,6160,281,112,169,0.64,11,buy
4/23,2330,國泰證券,8880,39,206,-167,0.63,11,sell
4/23,2330,台新,0039004200300030,209,43,166,0.63,12,buy
4/23,2330,永豐金-匯立,0039004100380031,124,287,-163,0.62,12,sell
4/23,2330,玉山證券,8840,221,56,165,0.62,13,buy
4/23,2330,第一金-高雄,5383,63,153,-90,0.34,13,sell
4/23,2330,富邦-南員林,0039003600310052,109,0,109,0.41,14,buy
4/23,2330,台新-台北,0039004200320030,40,127,-87,0.33,14,sell
4/23,2330,永豐金-萬盛,0039004100390032,113,10,103,0.39,15,buy
4/23,2330,臺銀,1040,35,122,-87,0.33,15,sell
4/23,2317,新加坡商瑞銀,1650,12670,1407,11263,8.09,1,buy
4/23,2317,國泰-敦南,8888,1013,2526,-1513,1.09,1,sell
4/23,2317,香港上海匯豐,8960,10567,740,9827,7.06,2,buy
4/23,2317,美商高盛,1480,6827,8043,-1216,0.87,2,sell
4/23,2317,美林,1440,8836,1137,7699,5.53,3,buy
4/23,2317,福邦證券,6480,2,1039,-1037,0.74,3,sell
4/23,2317,台灣摩根士丹利,1470,12088,5078,7010,5.03,4,buy
4/23,2317,元大-彰化,0039003800310047,15,848,-833,0.6,4,sell
4/23,2317,富邦證券,9600,6618,579,6039,4.34,5,buy
4/23,2317,永豐金證券,0039004100300030,1392,2062,-670,0.48,5,sell
4/23,2317,元大-和平,9863,3066,125,2941,2.11,6,buy
4/23,2317,統一-新竹,5857,103,743,-640,0.46,6,sell
4/23,2317,元大證券,9800,12718,10049,2669,1.92,7,buy
4/23,2317,新光,8560,826,1347,-521,0.37,7,sell
4/23,2317,凱基,9200,2949,314,2635,1.89,8,buy
4/23,2317,國泰-台中,8882,287,761,-474,0.34,8,sell
4/23,2317,國泰證券,8880,2704,250,2454,1.76,9,buy
4/23,2317,臺銀,1040,177,644,-467,0.34,9,sell
4/23,2317,港商野村,1560,1285,125,1160,0.83,10,buy
4/23,2317,國泰-高雄,8881,148,593,-445,0.32,10,sell
4/23,2317,摩根大通,8440,6887,5765,1122,0.81,11,buy
4/23,2317,國泰-板橋,003800380038004b,174,611,-437,0.31,11,sell
4/23,2317,凱基-台北,9268,6135,5073,1062,0.76,12,buy
4/23,2317,統一-內湖,0035003800350062,25,430,-405,0.29,12,sell
4/23,2317,群益金鼎,9100,597,83,514,0.37,13,buy
4/23,2317,富邦-台北,9623,96,489,-393,0.28,13,sell
4/23,2317,第一金,5380,539,78,461,0.33,14,buy
4/23,2317,國泰-館前,0038003800380041,265,651,-386,0.28,14,sell
4/23,2317,永豐金-匯立,0039004100380031,353,35,318,0.23,15,buy
4/23,2317,富邦-永和,9654,202,582,-380,0.27,15,sell
4/23,2454,富邦證券,9600,2008,451,1557,6.4,1,buy
4/23,2454,美林,1440,443,1102,-659,2.71,1,sell
4/23,2454,美商高盛,1480,1772,611,1161,4.77,2,buy
4/23,2454,新加坡商瑞銀,1650,715,1216,-501,2.06,2,sell
4/23,2454,永豐金-匯立,0039004100380031,517,16,501,2.06,3,buy
4/23,2454,凱基-站前,0039003200300046,166,648,-482,1.98,3,sell
4/23,2454,兆豐證券,7000,404,34,370,1.52,4,buy
4/23,2454,台灣摩根士丹利,1470,732,1155,-423,1.74,4,sell
4/23,2454,台新-五權西,0039004200320035,358,48,310,1.27,5,buy
