date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
2/26,2330,花旗環球,1590,4892,1664,3228,5.13,1,buy
2/26,2330,新加坡商瑞銀,1650,3736,18093,-14357,22.81,1,sell
2/26,2330,台灣摩根士丹利,1470,5194,3007,2187,3.48,2,buy
2/26,2330,美林,1440,2925,6988,-4063,6.46,2,sell
2/26,2330,凱基-台北,9268,3425,1298,2127,3.38,3,buy
2/26,2330,永豐金-匯立,0039004100380031,276,3476,-3200,5.09,3,sell
2/26,2330,香港上海匯豐,8960,1362,446,916,1.46,4,buy
2/26,2330,美商高盛,1480,3562,6386,-2824,4.49,4,sell
2/26,2330,永豐金證券,0039004100300030,1071,228,843,1.34,5,buy
2/26,2330,法銀巴黎,8900,52,1551,-1499,2.38,5,sell
2/26,2330,摩根大通,8440,5967,5307,660,1.05,6,buy
2/26,2330,大和國泰,8890,108,1580,-1472,2.34,6,sell
2/26,2330,元大證券,9800,3614,3066,548,0.87,7,buy
2/26,2330,國泰證券,8880,214,623,-409,0.65,7,sell
2/26,2330,國泰-敦南,8888,669,131,538,0.85,8,buy
2/26,2330,永豐金-松山,0039004100390031,41,140,-99,0.16,8,sell
2/26,2330,元富,0039004200300030,597,100,497,0.79,9,buy
2/26,2330,港商野村,1560,1161,1243,-82,0.13,9,sell
2/26,2330,富邦證券,9600,662,175,487,0.77,10,buy
2/26,2330,元大-四維,9831,27,83,-56,0.09,10,sell
2/26,2330,群益金鼎,9100,404,20,384,0.61,11,buy
2/26,2330,凱基-中壢,9285,20,53,-33,0.05,11,sell
2/26,2330,中國信託,6160,566,212,354,0.56,12,buy
2/26,2330,凱基-內湖,9287,10,30,-20,0.03,12,sell
2/26,2330,港商麥格理,1360,1514,1203,311,0.49,13,buy
2/26,2330,元富-安南,003900420032005a,9,24,-15,0.02,13,sell
2/26,2330,凱基,9200,408,109,299,0.48,14,buy
2/26,2330,國票-安和,003700370039005a,31,42,-11,0.02,14,sell
2/26,2330,台新證券,8150,283,29,254,0.4,15,buy
2/26,2330,元大-忠孝鼎富,0039003800320046,3,13,-10,0.02,15,sell
2/26,2317,美商高盛,1480,20493,2484,18009,10.75,1,buy
2/26,2317,國泰-敦南,8888,1186,3252,-2066,1.23,1,sell
2/26,2317,新加坡商瑞銀,1650,20135,3942,16193,9.67,2,buy
2/26,2317,台新證券,8150,782,2050,-1268,0.76,2,sell
2/26,2317,摩根大通,8440,13687,2923,10764,6.43,3,buy
2/26,2317,臺銀,1040,129,1264,-1135,0.68,3,sell
2/26,2317,台灣摩根士丹利,1470,9896,588,9308,5.56,4,buy
2/26,2317,富邦-仁愛,9676,260,1314,-1054,0.63,4,sell
2/26,2317,凱基-台北,9268,12376,6740,5636,3.37,5,buy
2/26,2317,富邦-南員林,0039003600310052,75,1033,-958,0.57,5,sell
2/26,2317,元大證券,9800,10365,6498,3867,2.31,6,buy
2/26,2317,元富,0039004200300030,832,1705,-873,0.52,6,sell
2/26,2317,永豐金證券,0039004100300030,3724,1033,2691,1.61,7,buy
2/26,2317,新光,8560,654,1463,-809,0.48,7,sell
2/26,2317,永豐金-匯立,0039004100380031,1917,84,1833,1.09,8,buy
2/26,2317,元大-大同,0039003800390047,49,826,-777,0.46,8,sell
2/26,2317,花旗環球,1590,1981,388,1593,0.95,9,buy
2/26,2317,國泰-板橋,003800380038004b,218,819,-601,0.36,9,sell
2/26,2317,群益金鼎,9100,1767,580,1187,0.71,10,buy
2/26,2317,香港上海匯豐,8960,220,786,-566,0.34,10,sell
2/26,2317,(牛牛牛)亞證券,6010,1170,7,1163,0.69,11,buy
2/26,2317,國泰-台中,8882,326,856,-530,0.32,11,sell
2/26,2317,富邦證券,9600,1586,596,990,0.59,12,buy
2/26,2317,國泰-桃園,8885,174,698,-524,0.31,12,sell
2/26,2317,統一,5850,1500,512,988,0.59,13,buy
2/26,2317,富邦-板橋,9655,305,824,-519,0.31,13,sell
2/26,2317,聯邦-大業,8586,1036,52,984,0.59,14,buy
2/26,2317,玉山-新莊,8842,149,625,-476,0.28,14,sell
2/26,2317,凱基,9200,873,221,652,0.39,15,buy
2/26,2317,富邦-台北,9623,212,685,-473,0.28,15,sell
2/26,2454,花旗環球,1590,933,169,764,5.28,1,buy
2/26,2454,美林,1440,731,1421,-690,4.77,1,sell
2/26,2454,永豐金-匯立,0039004100380031,663,81,582,4.02,2,buy
2/26,2454,新加坡商瑞銀,1650,1018,1465,-447,3.09,2,sell
2/26,2454,群益金鼎,9100,433,23,410,2.84,3,buy
2/26,2454,永豐金證券,0039004100300030,289,431,-142,0.98,3,sell
2/26,2454,美商高盛,1480,1214,807,407,2.81,4,buy
2/26,2454,元大證券,9800,1259,1398,-139,0.96,4,sell
2/26,2454,富邦證券,9600,601,260,341,2.36,5,buy
2/26,2454,元大-大同,0039003800390047,5,123,-118,0.82,5,sell
2/26,2454,大和國泰,8890,307,5,302,2.09,6,buy
2/26,2454,國泰-敦南,8888,86,164,-78,0.54,6,sell
2/26,2454,台灣摩根士丹利,1470,753,558,195,1.35,7,buy
2/26,2454,第一金,5380,4,81,-77,0.53,7,sell
2/26,2454,摩根大通,8440,903,719,184,1.27,8,buy
2/26,2454,富邦-建國,9658,8,76,-68,0.47,8,sell
2/26,2454,元富,0039004200300030,223,55,168,1.16,9,buy
2/26,2454,統一-永和,0035003800350042,0,56,-56,0.39,9,sell
2/26,2454,群益金鼎-大安,0039003100380065,151,0,151,1.04,10,buy
2/26,2454,港商野村,1560,123,169,-46,0.32,10,sell
2/26,2454,香港上海匯豐,8960,148,12,136,0.94,11,buy
2/26,2454,美好,5260,3,47,-44,0.3,11,sell
2/26,2454,凱基-中山,9229,142,9,133,0.92,12,buy
2/26,2454,凱基-台北,9268,698,741,-43,0.3,12,sell
2/26,2454,港商麥格理,1360,125,50,75,0.52,13,buy
2/26,2454,大昌,6460,10,49,-39,0.27,13,sell
2/26,2454,康和,8450,85,10,75,0.52,14,buy
2/26,2454,兆豐-桃鶯,0037003000300055,9,42,-33,0.23,14,sell
2/26,2454,元富-台中,0039004200320035,74,5,69,0.48,15,buy
2/26,2454,華南永昌-高雄,9303,0,33,-33,0.23,15,sell
2/26,2308,凱基,9200,1186,35,1151,6.65,1,buy
2/26,2308,新加坡商瑞銀,1650,2501,3861,-1360,7.86,1,sell
2/26,2308,摩根大通,8440,1433,921,512,2.96,2,buy
2/26,2308,香港上海匯豐,8960,128,773,-645,3.73,2,sell
2/26,2308,元富,0039004200300030,359,43,316,1.83,3,buy
2/26,2308,美林,1440,1012,1416,-404,2.34,3,sell
2/26,2308,永豐金證券,0039004100300030,324,114,210,1.21,4,buy
2/26,2308,元大證券,9800,912,1260,-348,2.01,4,sell
2/26,2308,中國信託,6160,228,36,192,1.11,5,buy
2/26,2308,大和國泰,8890,107,367,-260,1.5,5,sell
