date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
2/03,2330,富邦證券,9600,1734,679,1055,3.78,1,buy
2/03,2330,永豐金-匯立,0039004100380031,1144,4017,-2873,10.3,1,sell
2/03,2330,國泰證券,8880,790,40,750,2.69,2,buy
2/03,2330,凱基-台北,9268,699,3142,-2443,8.75,2,sell
2/03,2330,新加坡商瑞銀,1650,1272,576,696,2.49,3,buy
2/03,2330,元大證券,9800,397,1279,-882,3.16,3,sell
2/03,2330,法銀巴黎,8900,682,20,662,2.37,4,buy
2/03,2330,台灣摩根士丹利,1470,1686,2176,-490,1.76,4,sell
2/03,2330,群益金鼎,9100,671,48,623,2.23,5,buy
2/03,2330,美林,1440,1451,1853,-402,1.44,5,sell
2/03,2330,中國信託,6160,523,91,432,1.55,6,buy
2/03,2330,花旗環球,1590,429,739,-310,1.11,6,sell
2/03,2330,大和國泰,8890,347,14,333,1.19,7,buy
2/03,2330,凱基,9200,1120,1382,-262,0.94,7,sell
2/03,2330,香港上海匯豐,8960,358,51,307,1.1,8,buy
2/03,2330,宏遠證券,1260,18,104,-86,0.31,8,sell
2/03,2330,港商野村,1560,412,123,289,1.04,9,buy
2/03,2330,康和,8450,71,141,-70,0.25,9,sell
2/03,2330,兆豐-忠孝,0037003000300061,242,12,230,0.82,10,buy
2/03,2330,凱基-信義,9216,2,70,-68,0.24,10,sell
2/03,2330,永豐金證券,0039004100300030,354,134,220,0.79,11,buy
2/03,2330,摩根大通,8440,1915,1981,-66,0.24,11,sell
2/03,2330,統一,5850,437,241,196,0.7,12,buy
2/03,2330,元大-板橋,0039003800390043,7,59,-52,0.19,12,sell
2/03,2330,美商高盛,1480,1188,1035,153,0.55,13,buy
2/03,2330,元富-中原,0039004200320067,2,51,-49,0.18,13,sell
2/03,2330,凱基-長庚,9233,155,6,149,0.53,14,buy
2/03,2330,新光,8560,95,137,-42,0.15,14,sell
2/03,2330,國票-敦北法人,0037003700390063,164,19,145,0.52,15,buy
2/03,2330,中國信託-忠孝,6162,29,69,-40,0.14,15,sell
2/03,2317,美商高盛,1480,6585,1916,4669,11.25,1,buy
2/03,2317,國泰證券,8880,87,3131,-3044,7.34,1,sell
