date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/26,2330,元富,5920,1519,89,1430,4.98,1,buy
1/26,2330,美林,1440,804,3337,-2533,8.82,1,sell
1/26,2330,美商高盛,1480,2891,1861,1030,3.59,2,buy
1/26,2330,台灣摩根士丹利,1470,1719,3084,-1365,4.75,2,sell
1/26,2330,凱基,9200,997,159,838,2.92,3,buy
1/26,2330,新加坡商瑞銀,1650,2397,3455,-1058,3.68,3,sell
1/26,2330,台新證券,8150,865,112,753,2.62,4,buy
1/26,2330,香港上海匯豐,8960,10,220,-210,0.73,4,sell
1/26,2330,摩根大通,8440,3525,2994,531,1.85,5,buy
1/26,2330,港商野村,1560,70,260,-190,0.66,5,sell
1/26,2330,富邦-建國,9658,559,38,521,1.81,6,buy
1/26,2330,花旗環球,1590,670,811,-141,0.49,6,sell
1/26,2330,元大證券,9800,2390,1955,435,1.52,7,buy
1/26,2330,元大-台北,0039003800300068,23,120,-97,0.34,7,sell
1/26,2330,法銀巴黎,8900,472,67,405,1.41,8,buy
1/26,2330,群益金鼎-中山,0039003100380048,0,80,-80,0.28,8,sell
1/26,2330,永豐金證券,0039004100300030,468,158,310,1.08,9,buy
1/26,2330,華南永昌-高雄,9303,4,66,-62,0.22,9,sell
1/26,2330,群益金鼎,9100,608,378,230,0.8,10,buy
1/26,2330,宏遠證券,1260,6,62,-56,0.2,10,sell
1/26,2330,富邦證券,9600,256,31,225,0.78,11,buy
1/26,2330,台中銀-豐原,0036003100310041,6,58,-52,0.18,11,sell
1/26,2330,元富-台中,5925,172,5,167,0.58,12,buy
1/26,2330,富邦-陽明,9604,16,66,-50,0.17,12,sell
1/26,2330,凱基-台北,9268,639,503,136,0.47,13,buy
1/26,2330,元大-鑫永和,9888,3,51,-48,0.17,13,sell
1/26,2330,永豐金-匯立,0039004100380031,482,357,125,0.44,14,buy
1/26,2330,國泰證券,8880,66,112,-46,0.16,14,sell
1/26,2330,大和國泰,8890,256,132,124,0.43,15,buy
1/26,2330,合庫-台中,1021,23,69,-46,0.16,15,sell
1/26,2317,永豐金證券,0039004100300030,1149,70,1079,3.18,1,buy
1/26,2317,台灣摩根士丹利,1470,229,4105,-3876,11.41,1,sell
