date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/22,2330,統一,5850,1306,304,1002,2.03,1,buy
1/22,2330,摩根大通,8440,2190,7859,-5669,11.47,1,sell
1/22,2330,富邦證券,9600,2492,1615,877,1.77,2,buy
1/22,2330,美林,1440,169,3095,-2926,5.92,2,sell
1/22,2330,中國信託,6160,875,258,617,1.25,3,buy
1/22,2330,新加坡商瑞銀,1650,1533,4273,-2740,5.55,3,sell
1/22,2330,群益金鼎,9100,1591,1011,580,1.17,4,buy
1/22,2330,台灣摩根士丹利,1470,1804,3494,-1690,3.42,4,sell
1/22,2330,國泰-敦南,8888,685,200,485,0.98,5,buy
1/22,2330,大和國泰,8890,24,1550,-1526,3.09,5,sell
1/22,2330,凱基-三多,9275,368,3,365,0.74,6,buy
1/22,2330,美商高盛,1480,4163,5351,-1188,2.4,6,sell
1/22,2330,凱基-站前,0039003200300046,421,57,364,0.74,7,buy
1/22,2330,花旗環球,1590,1407,2430,-1023,2.07,7,sell
1/22,2330,彰銀,1230,279,4,275,0.56,8,buy
1/22,2330,國泰證券,8880,493,1321,-828,1.68,8,sell
1/22,2330,元大-土城永寧,9875,255,7,248,0.5,9,buy
1/22,2330,港商野村,1560,208,909,-701,1.42,9,sell
1/22,2330,台新證券,8150,342,102,240,0.49,10,buy
1/22,2330,元大證券,9800,1715,2382,-667,1.35,10,sell
1/22,2330,法銀巴黎,8900,263,27,236,0.48,11,buy
1/22,2330,香港上海匯豐,8960,448,1006,-558,1.13,11,sell
1/22,2330,新光,8560,325,122,203,0.41,12,buy
1/22,2330,永豐金證券,0039004100300030,751,1225,-474,0.96,12,sell
1/22,2330,永豐金-萬盛,0039004100390032,206,8,198,0.4,13,buy
1/22,2330,(牛牛牛)亞證券,6010,0,169,-169,0.34,13,sell
1/22,2330,元大-大雅,0039003800330069,206,10,196,0.4,14,buy
1/22,2330,永豐金-匯立,0039004100380031,1239,1365,-126,0.26,14,sell
1/22,2330,國泰-館前,0038003800380041,202,37,165,0.33,15,buy
1/22,2330,永豐金-竹科,0039004100390058,64,168,-104,0.21,15,sell
1/22,2317,國泰-敦南,8888,1640,606,1034,1.35,1,buy
1/22,2317,美商高盛,1480,1611,10542,-8931,11.62,1,sell
1/22,2317,永豐金證券,0039004100300030,1936,1079,857,1.12,2,buy
1/22,2317,美林,1440,651,6655,-6004,7.81,2,sell
1/22,2317,台灣摩根士丹利,1470,1779,1189,590,0.77,3,buy
1/22,2317,新加坡商瑞銀,1650,2105,7002,-4897,6.37,3,sell
1/22,2317,花旗環球,1590,1516,1082,434,0.56,4,buy
1/22,2317,國泰證券,8880,51,3963,-3912,5.09,4,sell
1/22,2317,凱基,9200,602,268,334,0.43,5,buy
1/22,2317,元富,5920,95,2622,-2527,3.29,5,sell
1/22,2317,新光,8560,618,306,312,0.41,6,buy
1/22,2317,大和國泰,8890,0,2506,-2506,3.26,6,sell
1/22,2317,富邦-陽明,9604,389,144,245,0.32,7,buy
1/22,2317,元大證券,9800,2493,4397,-1904,2.48,7,sell
1/22,2317,凱基-松山,9217,256,20,236,0.31,8,buy
1/22,2317,凱基-台北,9268,3142,4370,-1228,1.6,8,sell
1/22,2317,康和-板橋,0038003400350044,245,9,236,0.31,9,buy
1/22,2317,凱基-中山,9229,150,875,-725,0.94,9,sell
1/22,2317,富邦-板橋,9655,298,62,236,0.31,10,buy
1/22,2317,元大-士林,003900380031006a,91,696,-605,0.79,10,sell
1/22,2317,新光-台中,8561,285,72,213,0.28,11,buy
1/22,2317,港商野村,1560,153,713,-560,0.73,11,sell
1/22,2317,富邦-台北,9623,291,89,202,0.26,12,buy
1/22,2317,港商麥格理,1360,190,743,-553,0.72,12,sell
1/22,2317,玉山-新莊,8842,269,73,196,0.26,13,buy
1/22,2317,群益金鼎,9100,74,599,-525,0.68,13,sell
1/22,2317,兆豐-台中,7003,208,18,190,0.25,14,buy
1/22,2317,摩根大通,8440,2973,3408,-435,0.57,14,sell
1/22,2317,國泰-板橋,003800380038004b,336,147,189,0.25,15,buy
1/22,2317,國票-敦北法人,0037003700390063,28,460,-432,0.56,15,sell
1/22,2454,美商高盛,1480,1244,427,817,9.27,1,buy
