date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/19,2330,美林,1440,2431,287,2144,11.37,1,buy
8/19,2330,港商麥格理,1360,1364,3160,-1796,9.53,1,sell
8/19,2330,國泰證券,8880,832,93,739,3.92,2,buy
8/19,2330,凱基-台北,9268,190,1245,-1055,5.6,2,sell
8/19,2330,永豐金-匯立,0039004100380031,807,381,426,2.26,3,buy
8/19,2330,花旗環球,1590,896,1765,-869,4.61,3,sell
8/19,2330,富邦證券,9600,632,224,408,2.16,4,buy
8/19,2330,摩根大通,8440,1021,1887,-866,4.59,4,sell
8/19,2330,中國信託,6160,240,72,168,0.89,5,buy
8/19,2330,永豐金證券,0039004100300030,66,790,-724,3.84,5,sell
8/19,2330,兆豐-大同,0037003000300053,158,1,157,0.83,6,buy
8/19,2330,台灣摩根士丹利,1470,902,1507,-605,3.21,6,sell
8/19,2330,新加坡商瑞銀,1650,1116,963,153,0.81,7,buy
8/19,2330,元大證券,9800,303,835,-532,2.82,7,sell
8/19,2330,統一,5850,237,129,108,0.57,8,buy
8/19,2330,兆豐證券,7000,8,373,-365,1.94,8,sell
8/19,2330,凱基,9200,257,156,101,0.54,9,buy
8/19,2330,美商高盛,1480,700,941,-241,1.28,9,sell
8/19,2330,台新-台北,0039004200320030,99,10,89,0.47,10,buy
8/19,2330,凱基-站前,0039003200300046,21,134,-113,0.6,10,sell
8/19,2330,宏遠證券,1260,98,16,82,0.43,11,buy
8/19,2330,港商野村,1560,257,336,-79,0.42,11,sell
8/19,2330,福邦證券,6480,70,1,69,0.37,12,buy
8/19,2330,台新-桃園,0039004200320076,9,78,-69,0.37,12,sell
8/19,2330,土銀,1030,63,2,61,0.32,13,buy
8/19,2330,兆豐-忠孝,0037003000300061,5,62,-57,0.3,13,sell
8/19,2330,元大-復北,9872,70,12,58,0.31,14,buy
8/19,2330,華南永昌,9300,35,79,-44,0.23,14,sell
8/19,2330,華南永昌-民權,9312,63,11,52,0.28,15,buy
8/19,2330,合庫-高雄,1023,8,50,-42,0.22,15,sell
8/19,2317,元大-府城,0039003800300075,1121,5,1116,3.07,1,buy
8/19,2317,摩根大通,8440,411,6378,-5967,16.43,1,sell
8/19,2317,香港上海匯豐,8960,1053,84,969,2.67,2,buy
8/19,2317,台灣摩根士丹利,1470,507,3596,-3089,8.5,2,sell
8/19,2317,大和國泰,8890,531,0,531,1.46,3,buy
8/19,2317,永豐金-匯立,0039004100380031,0,2101,-2101,5.78,3,sell
8/19,2317,凱基,9200,505,17,488,1.34,4,buy
8/19,2317,永豐金證券,0039004100300030,249,2077,-1828,5.03,4,sell
8/19,2317,華南永昌,9300,358,61,297,0.82,5,buy
8/19,2317,花旗環球,1590,223,837,-614,1.69,5,sell
8/19,2317,群益金鼎,9100,706,450,256,0.7,6,buy
8/19,2317,華南永昌-南京,9326,22,570,-548,1.51,6,sell
8/19,2317,國泰-敦南,8888,489,246,243,0.67,7,buy
8/19,2317,新加坡商瑞銀,1650,2509,2913,-404,1.11,7,sell
8/19,2317,台新,0039004200300030,548,322,226,0.62,8,buy
8/19,2317,中國信託,6160,185,579,-394,1.08,8,sell
8/19,2317,元大證券,9800,1787,1562,225,0.62,9,buy
8/19,2317,大昌-樹林,6461,27,349,-322,0.89,9,sell
8/19,2317,美商高盛,1480,2564,2355,209,0.58,10,buy
8/19,2317,臺銀,1040,31,316,-285,0.78,10,sell
8/19,2317,凱基-台北,9268,1943,1797,146,0.4,11,buy
8/19,2317,富邦證券,9600,336,521,-185,0.51,11,sell
8/19,2317,元大-新竹,9816,154,9,145,0.4,12,buy
8/19,2317,亞東-板橋,2181,18,161,-143,0.39,12,sell
8/19,2317,新光,8560,236,99,137,0.38,13,buy
8/19,2317,法銀巴黎,8900,11,109,-98,0.27,13,sell
8/19,2317,凱基-台南,9211,138,10,128,0.35,14,buy
8/19,2317,國票-中正,7797,8,94,-86,0.24,14,sell
8/19,2317,元大-北三重,0039003800390056,133,6,127,0.35,15,buy
8/19,2317,第一金,5380,7,92,-85,0.23,15,sell
8/19,2454,台灣摩根士丹利,1470,2169,491,1678,18.09,1,buy
8/19,2454,新加坡商瑞銀,1650,279,1236,-957,10.32,1,sell
8/19,2454,港商麥格理,1360,513,104,409,4.41,2,buy
8/19,2454,元大證券,9800,384,891,-507,5.47,2,sell
8/19,2454,永豐金證券,0039004100300030,439,217,222,2.39,3,buy
8/19,2454,美林,1440,211,623,-412,4.44,3,sell
8/19,2454,富邦證券,9600,268,132,136,1.47,4,buy
8/19,2454,摩根大通,8440,146,501,-355,3.83,4,sell
8/19,2454,宏遠證券,1260,102,2,100,1.08,5,buy
8/19,2454,統一,5850,94,435,-341,3.68,5,sell
8/19,2454,永豐金-匯立,0039004100380031,77,16,61,0.66,6,buy
8/19,2454,美商高盛,1480,274,554,-280,3.02,6,sell
8/19,2454,國泰-敦南,8888,143,83,60,0.65,7,buy
8/19,2454,凱基-台北,9268,232,437,-205,2.21,7,sell
8/19,2454,國泰-板橋,003800380038004b,47,10,37,0.4,8,buy
8/19,2454,群益金鼎,9100,52,230,-178,1.92,8,sell
8/19,2454,富邦-建國,9658,64,31,33,0.36,9,buy
8/19,2454,凱基,9200,78,210,-132,1.42,9,sell
8/19,2454,香港上海匯豐,8960,39,10,29,0.31,10,buy
8/19,2454,兆豐證券,7000,1,132,-131,1.41,10,sell
8/19,2454,富邦-中壢,9636,31,6,25,0.27,11,buy
8/19,2454,兆豐-民生,0037003000300063,0,119,-119,1.28,11,sell
8/19,2454,法銀巴黎,8900,23,0,23,0.25,12,buy
8/19,2454,國泰證券,8880,5,109,-104,1.12,12,sell
8/19,2454,富邦-永和,9654,19,0,19,0.2,13,buy
8/19,2454,凱基-站前,0039003200300046,11,109,-98,1.06,13,sell
8/19,2454,合庫-西台中,0031003000320046,19,1,18,0.19,14,buy
