date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/29,2330,新加坡商瑞銀,1650,3388,789,2599,8.41,1,buy
1/29,2330,富邦證券,9600,883,2092,-1209,3.91,1,sell
1/29,2330,香港上海匯豐,8960,1674,223,1451,4.69,2,buy
1/29,2330,美商高盛,1480,1731,2394,-663,2.14,2,sell
1/29,2330,摩根大通,8440,2458,1173,1285,4.16,3,buy
1/29,2330,統一,5850,231,841,-610,1.97,3,sell
1/29,2330,港商麥格理,1360,1373,391,982,3.18,4,buy
1/29,2330,台灣摩根士丹利,1470,1013,1585,-572,1.85,4,sell
1/29,2330,美林,1440,3437,2463,974,3.15,5,buy
1/29,2330,群益金鼎,9100,411,976,-565,1.83,5,sell
1/29,2330,凱基-台北,9268,1283,541,742,2.4,6,buy
1/29,2330,臺銀,1040,30,551,-521,1.68,6,sell
1/29,2330,法銀巴黎,8900,739,20,719,2.33,7,buy
1/29,2330,國泰-敦南,8888,162,312,-150,0.49,7,sell
1/29,2330,永豐金證券,0039004100300030,725,401,324,1.05,8,buy
1/29,2330,元大-大同,0039003800390047,7,110,-103,0.33,8,sell
1/29,2330,華南永昌,9300,215,40,175,0.57,9,buy
1/29,2330,宏遠證券,1260,5,98,-93,0.3,9,sell
1/29,2330,元大證券,9800,748,612,136,0.44,10,buy
1/29,2330,玉山證券,8840,23,114,-91,0.29,10,sell
1/29,2330,永豐金-匯立,0039004100380031,933,797,136,0.44,11,buy
1/29,2330,台新證券,8150,68,146,-78,0.25,11,sell
1/29,2330,大和國泰,8890,141,29,112,0.36,12,buy
1/29,2330,華南永昌-古亭,9309,2,78,-76,0.25,12,sell
1/29,2330,花旗環球,1590,1186,1096,90,0.29,13,buy
1/29,2330,第一金-華江,0035003300380057,16,89,-73,0.24,13,sell
1/29,2330,中國信託-忠孝,6162,120,31,89,0.29,14,buy
1/29,2330,元大-新竹,9816,8,72,-64,0.21,14,sell
1/29,2330,康和,8450,85,4,81,0.26,15,buy
1/29,2330,凱基-永和,9207,4,67,-63,0.2,15,sell
1/29,2317,花旗環球,1590,4693,1220,3473,4.36,1,buy
1/29,2317,美林,1440,2588,9986,-7398,9.28,1,sell
1/29,2317,新加坡商瑞銀,1650,6036,4280,1756,2.2,2,buy
1/29,2317,美商高盛,1480,4122,9574,-5452,6.84,2,sell
1/29,2317,摩根大通,8440,2532,1193,1339,1.68,3,buy
1/29,2317,富邦證券,9600,982,4435,-3453,4.33,3,sell
1/29,2317,台灣摩根士丹利,1470,4397,3223,1174,1.47,4,buy
1/29,2317,凱基-台北,9268,2370,3911,-1541,1.93,4,sell
1/29,2317,港商野村,1560,1489,409,1080,1.36,5,buy
1/29,2317,大和國泰,8890,583,2115,-1532,1.92,5,sell
1/29,2317,凱基,9200,1162,83,1079,1.35,6,buy
1/29,2317,統一,5850,185,1514,-1329,1.67,6,sell
1/29,2317,香港上海匯豐,8960,1125,225,900,1.13,7,buy
1/29,2317,元富,5920,59,992,-933,1.17,7,sell
1/29,2317,中國信託-高雄,003600310036004b,550,66,484,0.61,8,buy
1/29,2317,元大證券,9800,2550,3267,-717,0.9,8,sell
1/29,2317,兆豐-岡山,0037003000300073,446,23,423,0.53,9,buy
1/29,2317,玉山證券,8840,136,615,-479,0.6,9,sell
1/29,2317,永豐金-匯立,0039004100380031,460,69,391,0.49,10,buy
1/29,2317,群益金鼎-萬華,0039003100330049,23,370,-347,0.44,10,sell
1/29,2317,元大-復北,9872,418,81,337,0.42,11,buy
1/29,2317,永豐金證券,0039004100300030,757,1023,-266,0.33,11,sell
1/29,2317,群益金鼎,9100,418,91,327,0.41,12,buy
1/29,2317,華南永昌,9300,142,407,-265,0.33,12,sell
1/29,2317,凱基-高美館,9215,294,42,252,0.32,13,buy
1/29,2317,兆豐證券,7000,66,320,-254,0.32,13,sell
1/29,2317,富邦-永和,9654,371,146,225,0.28,14,buy
1/29,2317,統一-南京,0035003800350055,231,481,-250,0.31,14,sell
1/29,2317,宏遠-台南,0031003200360044,216,6,210,0.26,15,buy
1/29,2317,元大-成功,003900380039004c,58,184,-126,0.16,15,sell
1/29,2454,美商高盛,1480,1343,748,595,5.85,1,buy
1/29,2454,花旗環球,1590,181,929,-748,7.35,1,sell
1/29,2454,新加坡商瑞銀,1650,604,81,523,5.14,2,buy
1/29,2454,元大證券,9800,428,680,-252,2.48,2,sell
1/29,2454,永豐金證券,0039004100300030,356,103,253,2.49,3,buy
1/29,2454,美林,1440,525,776,-251,2.47,3,sell
1/29,2454,港商野村,1560,236,33,203,1.99,4,buy
1/29,2454,華南永昌,9300,122,364,-242,2.38,4,sell
1/29,2454,國票-敦北法人,0037003700390063,161,0,161,1.58,5,buy
1/29,2454,台灣摩根士丹利,1470,268,507,-239,2.35,5,sell
1/29,2454,香港上海匯豐,8960,177,19,158,1.55,6,buy
1/29,2454,群益金鼎,9100,48,282,-234,2.3,6,sell
1/29,2454,富邦-嘉義,9692,191,42,149,1.46,7,buy
1/29,2454,富邦證券,9600,190,417,-227,2.23,7,sell
1/29,2454,台新證券,8150,165,42,123,1.21,8,buy
1/29,2454,永豐金-匯立,0039004100380031,129,324,-195,1.92,8,sell
1/29,2454,摩根大通,8440,859,754,105,1.03,9,buy
1/29,2454,國泰證券,8880,67,257,-190,1.87,9,sell
1/29,2454,元富,5920,130,33,97,0.95,10,buy
1/29,2454,大和國泰,8890,11,188,-177,1.74,10,sell
1/29,2454,兆豐證券,7000,86,14,72,0.71,11,buy
1/29,2454,法銀巴黎,8900,9,183,-174,1.71,11,sell
1/29,2454,元大-大同,0039003800390047,128,61,67,0.66,12,buy
1/29,2454,統一,5850,49,217,-168,1.65,12,sell
1/29,2454,元大-土城永寧,9875,66,3,63,0.62,13,buy
1/29,2454,宏遠證券,1260,2,85,-83,0.82,13,sell
1/29,2454,凱基-台北,9268,541,486,55,0.54,14,buy
1/29,2454,臺銀,1040,11,64,-53,0.52,14,sell
1/29,2454,港商麥格理,1360,55,8,47,0.46,15,buy
1/29,2454,台灣企銀,1110,2,40,-38,0.37,15,sell
1/29,2308,美商高盛,1480,1718,799,919,8.11,1,buy
1/29,2308,美林,1440,352,1262,-910,8.03,1,sell
1/29,2308,元富,5920,625,35,590,5.21,2,buy
1/29,2308,台灣摩根士丹利,1470,116,598,-482,4.25,2,sell
1/29,2308,大和國泰,8890,415,0,415,3.66,3,buy
1/29,2308,康和,8450,2,408,-406,3.58,3,sell
1/29,2308,摩根大通,8440,1079,692,387,3.41,4,buy
1/29,2308,元大證券,9800,474,796,-322,2.84,4,sell
1/29,2308,新加坡商瑞銀,1650,828,463,365,3.22,5,buy
1/29,2308,花旗環球,1590,131,407,-276,2.44,5,sell
1/29,2308,港商麥格理,1360,323,5,318,2.81,6,buy
1/29,2308,國票-台中,0037003700390076,100,323,-223,1.97,6,sell
1/29,2308,永豐金-匯立,0039004100380031,269,13,256,2.26,7,buy
1/29,2308,凱基-台北,9268,391,489,-98,0.86,7,sell
1/29,2308,富邦證券,9600,278,120,158,1.39,8,buy
1/29,2308,彰銀,1230,4,71,-67,0.59,8,sell
1/29,2308,香港上海匯豐,8960,150,53,97,0.86,9,buy
1/29,2308,第一金,5380,3,62,-59,0.52,9,sell
1/29,2308,凱基,9200,111,28,83,0.73,10,buy
1/29,2308,永豐金-萬盛,0039004100390032,7,61,-54,0.48,10,sell
1/29,2308,港商野村,1560,98,39,59,0.52,11,buy
1/29,2308,群益金鼎-敦南,9101,6,52,-46,0.41,11,sell
1/29,2308,永豐金-新竹,0039004100390037,48,3,45,0.4,12,buy
1/29,2308,元大-敦南,0039003800390050,5,48,-43,0.38,12,sell
1/29,2308,凱基-中山,9229,41,7,34,0.3,13,buy
1/29,2308,華南永昌,9300,46,87,-41,0.36,13,sell
1/29,2308,合庫-自強,0031003000320043,20,3,17,0.15,14,buy
1/29,2308,台新證券,8150,51,90,-39,0.34,14,sell
1/29,2308,富邦-陽明,9604,32,17,15,0.13,15,buy
1/29,2308,中國信託,6160,39,71,-32,0.28,15,sell
1/29,2382,美商高盛,1480,2144,1170,974,6.31,1,buy
1/29,2382,凱基,9200,5,741,-736,4.77,1,sell
1/29,2382,法銀巴黎,8900,756,0,756,4.9,2,buy
1/29,2382,凱基-台北,9268,155,709,-554,3.59,2,sell
1/29,2382,花旗環球,1590,590,49,541,3.51,3,buy
1/29,2382,統一,5850,9,481,-472,3.06,3,sell
1/29,2382,香港上海匯豐,8960,304,0,304,1.97,4,buy
1/29,2382,富邦證券,9600,112,556,-444,2.88,4,sell
1/29,2382,凱基-中山,9229,259,22,237,1.54,5,buy
1/29,2382,台灣摩根士丹利,1470,162,549,-387,2.51,5,sell
1/29,2382,新加坡商瑞銀,1650,1508,1327,181,1.17,6,buy
1/29,2382,永豐金證券,0039004100300030,104,486,-382,2.48,6,sell
1/29,2382,元大-向上,9824,155,3,152,0.99,7,buy
1/29,2382,元大-復北,9872,5,179,-174,1.13,7,sell
1/29,2382,合庫證券,1020,124,9,115,0.75,8,buy
1/29,2382,元富,5920,4,152,-148,0.96,8,sell
1/29,2382,元大證券,9800,711,605,106,0.69,9,buy
1/29,2382,富邦-南屯,9666,19,164,-145,0.94,9,sell
1/29,2382,凱基-竹北,9234,109,3,106,0.69,10,buy
1/29,2382,新光,8560,147,250,-103,0.67,10,sell
1/29,2382,富邦-仁愛,9676,112,17,95,0.62,11,buy
1/29,2382,群益金鼎-丹鳳,0039003100380073,1,101,-100,0.65,11,sell
1/29,2382,群益金鼎-古亭,0039003100380043,76,4,72,0.47,12,buy
1/29,2382,兆豐-台南,7006,10,74,-64,0.41,12,sell
1/29,2382,永豐金-北高雄,0039004100390072,63,7,56,0.36,13,buy
1/29,2382,群益金鼎-館前,0039003100330059,4,65,-61,0.4,13,sell
1/29,2382,港商麥格理,1360,75,20,55,0.36,14,buy
1/29,2382,國票-北投,7792,3,60,-57,0.37,14,sell
1/29,2382,第一金-忠孝,0035003300380044,57,6,51,0.33,15,buy
1/29,2382,元大-蘆洲,9857,16,73,-57,0.37,15,sell
1/29,2891,第一金-中山,5389,3000,0,3000,12.57,1,buy
1/29,2891,摩根大通,8440,1074,5189,-4115,17.24,1,sell
1/29,2891,新加坡商瑞銀,1650,5267,3251,2016,8.44,2,buy
1/29,2891,台灣摩根士丹利,1470,29,1909,-1880,7.87,2,sell
1/29,2891,美林,1440,1985,1059,926,3.88,3,buy
1/29,2891,宏遠證券,1260,24,726,-702,2.94,3,sell
1/29,2891,兆豐證券,7000,895,1,894,3.74,4,buy
1/29,2891,玉山證券,8840,16,714,-698,2.92,4,sell
1/29,2891,香港上海匯豐,8960,896,16,880,3.69,5,buy
1/29,2891,港商野村,1560,77,596,-519,2.17,5,sell
1/29,2891,群益金鼎,9100,1025,343,682,2.86,6,buy
1/29,2891,國泰證券,8880,21,519,-498,2.09,6,sell
1/29,2891,花旗環球,1590,1301,663,638,2.67,7,buy
1/29,2891,元大證券,9800,750,1108,-358,1.5,7,sell
