date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
2/02,2330,摩根大通,8440,5022,3597,1425,3.25,1,buy
2/02,2330,新加坡商瑞銀,1650,1424,6047,-4623,10.55,1,sell
2/02,2330,香港上海匯豐,8960,1456,308,1148,2.62,2,buy
2/02,2330,台灣摩根士丹利,1470,2893,6841,-3948,9.01,2,sell
2/02,2330,美林,1440,2491,1509,982,2.24,3,buy
2/02,2330,花旗環球,1590,1240,5078,-3838,8.76,3,sell
2/02,2330,群益金鼎,9100,1032,74,958,2.19,4,buy
2/02,2330,美商高盛,1480,1588,5150,-3562,8.13,4,sell
2/02,2330,統一,5850,1147,286,861,1.97,5,buy
2/02,2330,台新證券,8150,294,1326,-1032,2.36,5,sell
2/02,2330,永豐金-豐原,0039004100390051,845,4,841,1.92,6,buy
2/02,2330,港商野村,1560,65,615,-550,1.26,6,sell
2/02,2330,兆豐證券,7000,420,2,418,0.95,7,buy
2/02,2330,元大證券,9800,976,1266,-290,0.66,7,sell
2/02,2330,富邦證券,9600,915,568,347,0.79,8,buy
2/02,2330,凱基-台北,9268,798,1022,-224,0.51,8,sell
2/02,2330,華南永昌,9300,503,157,346,0.79,9,buy
2/02,2330,港商麥格理,1360,134,300,-166,0.38,9,sell
2/02,2330,宏遠證券,1260,346,6,340,0.78,10,buy
2/02,2330,第一金,5380,25,153,-128,0.29,10,sell
2/02,2330,國泰證券,8880,391,67,324,0.74,11,buy
2/02,2330,群益金鼎-北高雄,0039003100330052,10,106,-96,0.22,11,sell
2/02,2330,國泰-敦南,8888,501,234,267,0.61,12,buy
2/02,2330,元富,0039004200300030,19,87,-68,0.16,12,sell
2/02,2330,臺銀,1040,295,28,267,0.61,13,buy
2/02,2330,永豐金證券,0039004100300030,712,763,-51,0.12,13,sell
2/02,2330,大和國泰,8890,425,164,261,0.6,14,buy
2/02,2330,凱基-屏東,0039003200320043,9,58,-49,0.11,14,sell
2/02,2330,法銀巴黎,8900,301,80,221,0.5,15,buy
2/02,2330,中國信託-三重,6161,20,68,-48,0.11,15,sell
2/02,2317,美商高盛,1480,12181,7954,4227,5.94,1,buy
2/02,2317,美林,1440,1245,6211,-4966,6.98,1,sell
2/02,2317,摩根大通,8440,6391,5414,977,1.37,2,buy
