date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
3/20,2330,國泰-敦南,8888,957,123,834,2.16,1,buy
3/20,2330,摩根大通,8440,519,8258,-7739,20.07,1,sell
3/20,2330,永豐金證券,0039004100300030,1184,421,763,1.98,2,buy
3/20,2330,港商麥格理,1360,250,2988,-2738,7.1,2,sell
3/20,2330,凱基-三多,9275,461,1,460,1.19,3,buy
3/20,2330,台灣摩根士丹利,1470,568,3235,-2667,6.92,3,sell
3/20,2330,國泰證券,8880,495,126,369,0.96,4,buy
3/20,2330,美商高盛,1480,384,3036,-2652,6.88,4,sell
3/20,2330,新光,8560,397,103,294,0.76,5,buy
3/20,2330,新加坡商瑞銀,1650,206,2367,-2161,5.6,5,sell
3/20,2330,統一,5850,654,382,272,0.71,6,buy
3/20,2330,美林,1440,446,1869,-1423,3.69,6,sell
3/20,2330,台新證券,8150,350,92,258,0.67,7,buy
3/20,2330,元大證券,9800,933,1840,-907,2.35,7,sell
3/20,2330,台灣企銀,1110,254,3,251,0.65,8,buy
3/20,2330,花旗環球,1590,841,1736,-895,2.32,8,sell
3/20,2330,華南永昌,9300,313,63,250,0.65,9,buy
3/20,2330,凱基-台北,9268,685,1555,-870,2.26,9,sell
3/20,2330,法銀巴黎,8900,344,143,201,0.52,10,buy
3/20,2330,永豐金-匯立,0039004100380031,189,891,-702,1.82,10,sell
3/20,2330,國泰-館前,0038003800380041,206,17,189,0.49,11,buy
3/20,2330,宏遠證券,1260,115,440,-325,0.84,11,sell
3/20,2330,國泰-板橋,003800380038004b,205,18,187,0.48,12,buy
3/20,2330,元大-和平,9863,28,304,-276,0.72,12,sell
3/20,2330,國泰-台中,8882,210,26,184,0.48,13,buy
3/20,2330,富邦證券,9600,386,547,-161,0.42,13,sell
3/20,2330,元大-台北,0039003800300068,178,4,174,0.45,14,buy
3/20,2330,大和國泰,8890,253,364,-111,0.29,14,sell
3/20,2330,富邦-新竹,9647,186,16,170,0.44,15,buy
3/20,2330,康和,8450,14,101,-87,0.23,15,sell
3/20,2317,國泰-敦南,8888,2308,597,1711,1.92,1,buy
3/20,2317,台灣摩根士丹利,1470,205,9486,-9281,10.42,1,sell
3/20,2317,台灣企銀,1110,854,43,811,0.91,2,buy
3/20,2317,美林,1440,156,7904,-7748,8.7,2,sell
