date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
2/05,2330,富邦證券,9600,2857,460,2397,8.43,1,buy
2/05,2330,美林,1440,603,3061,-2458,8.64,1,sell
2/05,2330,花旗環球,1590,1877,763,1114,3.92,2,buy
2/05,2330,摩根大通,8440,1583,3401,-1818,6.39,2,sell
2/05,2330,永豐金證券,0039004100300030,1090,169,921,3.24,3,buy
2/05,2330,凱基,9200,927,2419,-1492,5.25,3,sell
2/05,2330,群益金鼎,9100,806,288,518,1.82,4,buy
2/05,2330,美商高盛,1480,1306,2770,-1464,5.15,4,sell
2/05,2330,華南永昌,9300,337,51,286,1.01,5,buy
2/05,2330,法銀巴黎,8900,121,1153,-1032,3.63,5,sell
2/05,2330,國泰-敦南,8888,351,98,253,0.89,6,buy
2/05,2330,台灣摩根士丹利,1470,661,1550,-889,3.13,6,sell
2/05,2330,元富,0039004200300030,275,86,189,0.66,7,buy
2/05,2330,凱基-台北,9268,866,1481,-615,2.16,7,sell
2/05,2330,土銀,1030,174,0,174,0.61,8,buy
2/05,2330,元大證券,9800,934,1491,-557,1.96,8,sell
2/05,2330,富邦-台北,9623,184,30,154,0.54,9,buy
2/05,2330,新加坡商瑞銀,1650,1002,1426,-424,1.49,9,sell
2/05,2330,兆豐證券,7000,166,17,149,0.52,10,buy
2/05,2330,港商麥格理,1360,344,759,-415,1.46,10,sell
2/05,2330,凱基-城中,9227,144,3,141,0.5,11,buy
2/05,2330,凱基-中山,9229,7,258,-251,0.88,11,sell
2/05,2330,宏遠-桃園,1262,124,1,123,0.43,12,buy
2/05,2330,永豐金-匯立,0039004100380031,259,429,-170,0.6,12,sell
2/05,2330,宏遠證券,1260,113,6,107,0.38,13,buy
2/05,2330,元大-羅東,0039003800320041,7,76,-69,0.24,13,sell
2/05,2330,第一金-彰化,5386,89,1,88,0.31,14,buy
2/05,2330,元大-鑫永和,9888,6,68,-62,0.22,14,sell
2/05,2330,臺銀,1040,109,37,72,0.25,15,buy
2/05,2330,元大-台北,0039003800300068,147,201,-54,0.19,15,sell
2/05,2317,美林,1440,6289,1278,5011,11.57,1,buy
2/05,2317,台灣摩根士丹利,1470,908,9389,-8481,19.58,1,sell
2/05,2317,港商野村,1560,3192,316,2876,6.64,2,buy
2/05,2317,永豐金證券,0039004100300030,93,3215,-3122,7.21,2,sell
2/05,2317,凱基,9200,1110,188,922,2.13,3,buy
2/05,2317,美商高盛,1480,2062,3886,-1824,4.21,3,sell
2/05,2317,港商麥格理,1360,1187,366,821,1.9,4,buy
2/05,2317,台新證券,8150,538,1770,-1232,2.85,4,sell
2/05,2317,永豐金-匯立,0039004100380031,415,33,382,0.88,5,buy
2/05,2317,新加坡商瑞銀,1650,2635,3818,-1183,2.73,5,sell
2/05,2317,群益金鼎,9100,320,18,302,0.7,6,buy
2/05,2317,凱基-台北,9268,1917,3018,-1101,2.54,6,sell
2/05,2317,富邦證券,9600,946,717,229,0.53,7,buy
2/05,2317,法銀巴黎,8900,75,680,-605,1.4,7,sell
2/05,2317,元大-士林,003900380031006a,243,16,227,0.52,8,buy
2/05,2317,花旗環球,1590,39,342,-303,0.7,8,sell
2/05,2317,高橋,5320,211,12,199,0.46,9,buy
2/05,2317,統一,5850,105,356,-251,0.58,9,sell
2/05,2317,富邦-永和,9654,326,154,172,0.4,10,buy
2/05,2317,香港上海匯豐,8960,0,240,-240,0.55,10,sell
2/05,2317,國泰-敦南,8888,462,312,150,0.35,11,buy
2/05,2317,元大-沙鹿,0039003800300064,20,250,-230,0.53,11,sell
2/05,2317,臺銀-高雄,0031003000340043,159,11,148,0.34,12,buy
2/05,2317,華南永昌-苗栗,9362,7,172,-165,0.38,12,sell
2/05,2317,永豐金-市政,0039004100390057,167,32,135,0.31,13,buy
2/05,2317,摩根大通,8440,1224,1361,-137,0.32,13,sell
2/05,2317,富邦-公益,0039003600310046,159,26,133,0.31,14,buy
2/05,2317,元大-府城,0039003800300075,14,143,-129,0.3,14,sell
2/05,2317,元大-大同,0039003800390047,135,12,123,0.28,15,buy
2/05,2317,元富,0039004200300030,65,145,-80,0.18,15,sell
2/05,2454,國泰證券,8880,1019,28,991,6.1,1,buy
