date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/27,2330,台新證券,8150,1055,40,1015,4.03,1,buy
1/27,2330,富邦證券,9600,105,2662,-2557,10.15,1,sell
1/27,2330,元富,5920,1030,156,874,3.47,2,buy
1/27,2330,美林,1440,862,2463,-1601,6.36,2,sell
1/27,2330,港商麥格理,1360,822,272,550,2.18,3,buy
1/27,2330,美商高盛,1480,1499,2747,-1248,4.95,3,sell
1/27,2330,國泰-敦南,8888,359,82,277,1.1,4,buy
1/27,2330,元大證券,9800,689,1586,-897,3.56,4,sell
1/27,2330,凱基-三多,9275,281,8,273,1.08,5,buy
1/27,2330,永豐金證券,0039004100300030,360,1170,-810,3.22,5,sell
1/27,2330,凱基-台北,9268,859,606,253,1.0,6,buy
1/27,2330,台灣摩根士丹利,1470,553,1357,-804,3.19,6,sell
1/27,2330,中國信託,6160,356,153,203,0.81,7,buy
1/27,2330,國泰證券,8880,85,672,-587,2.33,7,sell
1/27,2330,香港上海匯豐,8960,263,67,196,0.78,8,buy
1/27,2330,永豐金-匯立,0039004100380031,516,1006,-490,1.95,8,sell
1/27,2330,新光,8560,262,94,168,0.67,9,buy
1/27,2330,摩根大通,8440,1308,1693,-385,1.53,9,sell
1/27,2330,新加坡商瑞銀,1650,800,658,142,0.56,10,buy
1/27,2330,花旗環球,1590,430,667,-237,0.94,10,sell
1/27,2330,凱基-雙和,0039003200300043,141,2,139,0.55,11,buy
1/27,2330,群益金鼎-敦南,9101,9,226,-217,0.86,11,sell
1/27,2330,富邦-台南,9667,117,9,108,0.43,12,buy
1/27,2330,群益金鼎,9100,308,524,-216,0.86,12,sell
1/27,2330,富邦-南員林,0039003600310052,106,3,103,0.41,13,buy
1/27,2330,港商野村,1560,90,240,-150,0.6,13,sell
1/27,2330,兆豐-桃鶯,0037003000300055,105,2,103,0.41,14,buy
1/27,2330,第一金-光復,0035003300380043,6,117,-111,0.44,14,sell
1/27,2330,元大-蘆洲中正,0039003800390049,92,3,89,0.35,15,buy
1/27,2330,永豐金-萬盛,0039004100390032,13,110,-97,0.39,15,sell
1/27,2317,美商高盛,1480,4811,2060,2751,7.02,1,buy
