date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
1/28,2330,摩根大通,8440,4269,928,3341,11.05,1,buy
1/28,2330,台灣摩根士丹利,1470,481,2143,-1662,5.5,1,sell
1/28,2330,美林,1440,2746,440,2306,7.63,2,buy
1/28,2330,港商野村,1560,538,1680,-1142,3.78,2,sell
1/28,2330,香港上海匯豐,8960,1337,617,720,2.38,3,buy
1/28,2330,美商高盛,1480,4082,4970,-888,2.94,3,sell
1/28,2330,元大證券,9800,1327,639,688,2.28,4,buy
1/28,2330,港商麥格理,1360,791,1565,-774,2.56,4,sell
1/28,2330,新加坡商瑞銀,1650,2939,2367,572,1.89,5,buy
1/28,2330,臺銀,1040,20,358,-338,1.12,5,sell
1/28,2330,法銀巴黎,8900,588,44,544,1.8,6,buy
1/28,2330,兆豐證券,7000,174,511,-337,1.11,6,sell
1/28,2330,花旗環球,1590,802,280,522,1.73,7,buy
1/28,2330,統一,5850,233,530,-297,0.98,7,sell
1/28,2330,永豐金證券,0039004100300030,625,307,318,1.05,8,buy
1/28,2330,新光,8560,65,280,-215,0.71,8,sell
1/28,2330,凱基-台北,9268,1314,1063,251,0.83,9,buy
1/28,2330,群益金鼎,9100,209,378,-169,0.56,9,sell
1/28,2330,富邦-建國,9658,274,58,216,0.71,10,buy
1/28,2330,國票-博愛,003700370039007a,4,156,-152,0.5,10,sell
1/28,2330,大和國泰,8890,208,20,188,0.62,11,buy
1/28,2330,國泰-敦南,8888,122,248,-126,0.42,11,sell
1/28,2330,國泰證券,8880,225,112,113,0.37,12,buy
1/28,2330,中國信託-忠孝,6162,17,138,-121,0.4,12,sell
1/28,2330,凱基,9200,192,88,104,0.34,13,buy
1/28,2330,台新證券,8150,92,187,-95,0.31,13,sell
1/28,2330,康和,8450,96,2,94,0.31,14,buy
1/28,2330,凱基-高美館,9215,77,156,-79,0.26,14,sell
1/28,2330,彰銀,1230,53,5,48,0.16,15,buy
1/28,2330,台中銀,6110,3,65,-62,0.21,15,sell
1/28,2317,凱基,9200,1460,58,1402,3.82,1,buy
1/28,2317,美林,1440,3300,4996,-1696,4.62,1,sell
1/28,2317,新加坡商瑞銀,1650,1986,868,1118,3.04,2,buy
1/28,2317,台新證券,8150,331,1637,-1306,3.56,2,sell
1/28,2317,花旗環球,1590,796,209,587,1.6,3,buy
1/28,2317,港商野村,1560,337,1122,-785,2.14,3,sell
1/28,2317,美商高盛,1480,4139,3618,521,1.42,4,buy
1/28,2317,兆豐證券,7000,9,691,-682,1.86,4,sell
1/28,2317,香港上海匯豐,8960,700,209,491,1.34,5,buy
1/28,2317,凱基-台北,9268,1035,1522,-487,1.33,5,sell
1/28,2317,元大-大同,0039003800390047,404,13,391,1.06,6,buy
1/28,2317,台灣摩根士丹利,1470,1550,1931,-381,1.04,6,sell
1/28,2317,元大證券,9800,1973,1704,269,0.73,7,buy
1/28,2317,永豐金證券,0039004100300030,325,653,-328,0.89,7,sell
1/28,2317,永豐金-台南,0039004100390068,290,48,242,0.66,8,buy
1/28,2317,群益金鼎,9100,56,352,-296,0.81,8,sell
1/28,2317,統一,5850,257,65,192,0.52,9,buy
1/28,2317,港商麥格理,1360,424,596,-172,0.47,9,sell
1/28,2317,永豐金-匯立,0039004100380031,135,0,135,0.37,10,buy
1/28,2317,致和證券,7030,12,166,-154,0.42,10,sell
1/28,2317,元大-土城永寧,9875,135,21,114,0.31,11,buy
1/28,2317,凱基-永華,9235,4,154,-150,0.41,11,sell
1/28,2317,元大-南京,9862,134,22,112,0.3,12,buy
1/28,2317,國票證券,7790,13,161,-148,0.4,12,sell
1/28,2317,大展,5050,114,6,108,0.29,13,buy
1/28,2317,富邦證券,9600,299,413,-114,0.31,13,sell
1/28,2317,法銀巴黎,8900,171,65,106,0.29,14,buy
1/28,2317,凱基-市府,0039003200300044,15,130,-115,0.31,14,sell
1/28,2317,統一-松江,003500380035005a,121,18,103,0.28,15,buy
1/28,2317,富邦-南屯,9666,12,125,-113,0.31,15,sell
1/28,2454,美商高盛,1480,1736,620,1116,9.02,1,buy
1/28,2454,摩根大通,8440,1116,1476,-360,2.91,1,sell
1/28,2454,美林,1440,916,325,591,4.77,2,buy
1/28,2454,法銀巴黎,8900,37,324,-287,2.32,2,sell
1/28,2454,新加坡商瑞銀,1650,834,571,263,2.12,3,buy
1/28,2454,花旗環球,1590,219,431,-212,1.71,3,sell
1/28,2454,統一,5850,363,163,200,1.62,4,buy
1/28,2454,華南永昌,9300,22,209,-187,1.51,4,sell
1/28,2454,香港上海匯豐,8960,144,8,136,1.1,5,buy
1/28,2454,富邦證券,9600,471,641,-170,1.37,5,sell
1/28,2454,凱基-台北,9268,978,864,114,0.92,6,buy
1/28,2454,大和國泰,8890,37,171,-134,1.08,6,sell
1/28,2454,元富-城東,0035003900320072,125,24,101,0.82,7,buy
1/28,2454,港商麥格理,1360,68,176,-108,0.87,7,sell
1/28,2454,台灣摩根士丹利,1470,270,172,98,0.79,8,buy
1/28,2454,中國信託-松江,6167,1,103,-102,0.82,8,sell
1/28,2454,永豐金-匯立,0039004100380031,227,148,79,0.64,9,buy
1/28,2454,台灣企銀,1110,2,101,-99,0.8,9,sell
1/28,2454,群益金鼎-大安,0039003100380065,60,1,59,0.48,10,buy
1/28,2454,元大證券,9800,444,530,-86,0.69,10,sell
1/28,2454,元大-館前,003900380034004b,58,19,39,0.32,11,buy
1/28,2454,臺銀,1040,7,76,-69,0.56,11,sell
1/28,2454,元大-大里,0039003800310067,37,7,30,0.24,12,buy
1/28,2454,國泰證券,8880,193,256,-63,0.51,12,sell
1/28,2454,元富,5920,40,19,21,0.17,13,buy
1/28,2454,凱基,9200,18,80,-62,0.5,13,sell
1/28,2454,國票-安和,003700370039005a,28,9,19,0.15,14,buy
1/28,2454,港商野村,1560,208,269,-61,0.49,14,sell
1/28,2454,元大-三重,0039003800380043,21,2,19,0.15,15,buy
1/28,2454,群益金鼎,9100,35,82,-47,0.38,15,sell
1/28,2308,香港上海匯豐,8960,412,13,399,4.45,1,buy
1/28,2308,國票-敦北法人,0037003700390063,8,261,-253,2.82,1,sell
1/28,2308,摩根大通,8440,507,309,198,2.21,2,buy
1/28,2308,美商高盛,1480,816,1053,-237,2.65,2,sell
1/28,2308,凱基,9200,227,59,168,1.88,3,buy
1/28,2308,新加坡商瑞銀,1650,765,940,-175,1.95,3,sell
1/28,2308,永豐金證券,0039004100300030,173,34,139,1.55,4,buy
1/28,2308,國泰證券,8880,18,189,-171,1.91,4,sell
1/28,2308,元大證券,9800,453,323,130,1.45,5,buy
1/28,2308,臺銀,1040,5,136,-131,1.46,5,sell
1/28,2308,元富,5920,239,126,113,1.26,6,buy
1/28,2308,凱基-台北,9268,416,540,-124,1.38,6,sell
1/28,2308,大和國泰,8890,109,6,103,1.15,7,buy
1/28,2308,國票-台中,0037003700390076,1,102,-101,1.13,7,sell
1/28,2308,元大-大同,0039003800390047,82,4,78,0.87,8,buy
1/28,2308,兆豐證券,7000,99,182,-83,0.93,8,sell
1/28,2308,彰銀,1230,73,2,71,0.79,9,buy
1/28,2308,國票-安和,003700370039005a,12,78,-66,0.74,9,sell
1/28,2308,凱基-站前,0039003200300046,98,28,70,0.78,10,buy
1/28,2308,法銀巴黎,8900,75,137,-62,0.69,10,sell
1/28,2308,兆豐-桃鶯,0037003000300055,65,0,65,0.73,11,buy
1/28,2308,富邦證券,9600,114,171,-57,0.64,11,sell
1/28,2308,宏遠證券,1260,56,4,52,0.58,12,buy
1/28,2308,美林,1440,287,341,-54,0.6,12,sell
1/28,2308,華南永昌-高雄,9303,51,1,50,0.56,13,buy
1/28,2308,台灣摩根士丹利,1470,316,363,-47,0.52,13,sell
1/28,2308,華南永昌,9300,45,3,42,0.47,14,buy
1/28,2308,港商野村,1560,66,111,-45,0.5,14,sell
1/28,2308,合庫證券,1020,43,7,36,0.4,15,buy
1/28,2308,元大-大里,0039003800310067,6,45,-39,0.44,15,sell
1/28,2382,法銀巴黎,8900,1448,35,1413,12.43,1,buy
1/28,2382,第一金-中山,5389,0,704,-704,6.19,1,sell
1/28,2382,美商高盛,1480,1762,384,1378,12.12,2,buy
1/28,2382,永豐金證券,0039004100300030,76,424,-348,3.06,2,sell
1/28,2382,新加坡商瑞銀,1650,1657,356,1301,11.44,3,buy
1/28,2382,凱基-台北,9268,196,410,-214,1.88,3,sell
1/28,2382,美林,1440,632,379,253,2.22,4,buy
1/28,2382,第一金,5380,0,151,-151,1.33,4,sell
1/28,2382,港商麥格理,1360,184,4,180,1.58,5,buy
1/28,2382,國票-敦北法人,0037003700390063,37,177,-140,1.23,5,sell
1/28,2382,花旗環球,1590,208,44,164,1.44,6,buy
1/28,2382,凱基,9200,1,138,-137,1.2,6,sell
1/28,2382,富邦證券,9600,152,49,103,0.91,7,buy
1/28,2382,富邦-南屯,9666,6,141,-135,1.19,7,sell
1/28,2382,元大-景美,0039003800340048,100,0,100,0.88,8,buy
1/28,2382,國泰-敦南,8888,99,224,-125,1.1,8,sell
1/28,2382,摩根大通,8440,220,126,94,0.83,9,buy
1/28,2382,台新證券,8150,38,151,-113,0.99,9,sell
1/28,2382,香港上海匯豐,8960,104,13,91,0.8,10,buy
1/28,2382,群益金鼎,9100,3,116,-113,0.99,10,sell
1/28,2382,台灣摩根士丹利,1470,678,589,89,0.78,11,buy
1/28,2382,合庫-高雄,1023,4,92,-88,0.77,11,sell
1/28,2382,華南永昌,9300,81,13,68,0.6,12,buy
1/28,2382,康和,8450,5,90,-85,0.75,12,sell
1/28,2382,港商野村,1560,154,110,44,0.39,13,buy
1/28,2382,元大-復北,9872,13,97,-84,0.74,13,sell
1/28,2382,統一-三多,0035003800350051,43,6,37,0.33,14,buy
1/28,2382,第一金-自由,0035003300380045,6,75,-69,0.61,14,sell
1/28,2382,元大證券,9800,572,535,37,0.33,15,buy
1/28,2382,康和-台中,8455,30,94,-64,0.56,15,sell
1/28,2891,新加坡商瑞銀,1650,7875,1833,6042,16.58,1,buy
1/28,2891,富邦證券,9600,259,3253,-2994,8.21,1,sell
1/28,2891,摩根大通,8440,4050,272,3778,10.36,2,buy
1/28,2891,凱基,9200,5,2421,-2416,6.63,2,sell
1/28,2891,大和國泰,8890,2000,0,2000,5.49,3,buy
1/28,2891,華南永昌-中正,9359,0,2089,-2089,5.73,3,sell
1/28,2891,美林,1440,1472,32,1440,3.95,4,buy
1/28,2891,群益金鼎,9100,570,2599,-2029,5.57,4,sell
1/28,2891,凱基-台北,9268,1834,761,1073,2.94,5,buy
1/28,2891,永豐金-匯立,0039004100380031,220,2001,-1781,4.89,5,sell
1/28,2891,元富,5920,1054,0,1054,2.89,6,buy
1/28,2891,第一金,5380,0,1286,-1286,3.53,6,sell
1/28,2891,永豐金證券,0039004100300030,4507,3602,905,2.48,7,buy
1/28,2891,美商高盛,1480,3198,4018,-820,2.25,7,sell
1/28,2891,香港上海匯豐,8960,734,41,693,1.9,8,buy
1/28,2891,元大證券,9800,2706,3192,-486,1.33,8,sell
1/28,2891,永豐金-新竹,0039004100390037,200,1,199,0.55,9,buy
1/28,2891,台灣摩根士丹利,1470,1422,1777,-355,0.97,9,sell
1/28,2891,臺銀,1040,202,6,196,0.54,10,buy
1/28,2891,富邦-新竹,9647,0,223,-223,0.61,10,sell
1/28,2891,花旗環球,1590,988,839,149,0.41,11,buy
1/28,2891,元大-斗六,0039003800300043,0,201,-201,0.55,11,sell
1/28,2891,凱基-台中,9204,102,7,95,0.26,12,buy
1/28,2891,統一,5850,301,465,-164,0.45,12,sell
1/28,2891,法銀巴黎,8900,100,26,74,0.2,13,buy
1/28,2891,合庫-台中,1021,0,163,-163,0.45,13,sell
1/28,2891,港商麥格理,1360,256,183,73,0.2,14,buy
1/28,2891,中國信託-新竹,6165,7,130,-123,0.34,14,sell
1/28,2891,元富-台南,5929,50,3,47,0.13,15,buy
1/28,2891,港商野村,1560,267,387,-120,0.33,15,sell
1/28,2881,美林,1440,2700,802,1898,8.5,1,buy
1/28,2881,凱基,9200,1,2228,-2227,9.98,1,sell
1/28,2881,摩根大通,8440,1571,94,1477,6.62,2,buy
1/28,2881,群益金鼎,9100,172,2343,-2171,9.73,2,sell
1/28,2881,新加坡商瑞銀,1650,2419,1565,854,3.83,3,buy
1/28,2881,美商高盛,1480,1154,2690,-1536,6.88,3,sell
1/28,2881,兆豐證券,7000,843,9,834,3.74,4,buy
1/28,2881,台新證券,8150,69,1513,-1444,6.47,4,sell
1/28,2881,台灣摩根士丹利,1470,976,153,823,3.69,5,buy
1/28,2881,富邦證券,9600,20,1206,-1186,5.31,5,sell
1/28,2881,永豐金證券,0039004100300030,561,11,550,2.46,6,buy
1/28,2881,第一金-員林,5381,8,884,-876,3.93,6,sell
1/28,2881,香港上海匯豐,8960,405,36,369,1.65,7,buy
1/28,2881,港商麥格理,1360,163,999,-836,3.75,7,sell
1/28,2881,新光-台中,8561,219,2,217,0.97,8,buy
1/28,2881,元大證券,9800,839,1571,-732,3.28,8,sell
1/28,2881,中國信託,6160,179,7,172,0.77,9,buy
